Speech;Timestamp
A to je logički ekvivalentno sa g ili ne b n.;0:30:22.400000 - 0:30:28.400000
I to je valjana formula.;0:30:31.400000 - 0:30:33.400000
Da.;0:30:38.400000 - 0:30:39.400000
Sad, da nekako iz toga bi trebalo...;0:30:41.400000 - 0:30:43.400000
Dobro, znači ono što sigurno znam je da za ovu tu dvojicu ne postoji interpolant.;0:31:12.400000 - 0:31:22.400000
E, ali ja bi nekako htio...;0:31:23.400000 - 0:31:25.400000
Da, ja bi htio obrnuto, ja bi htio nekako interpolanta za ne g,;0:31:27.400000 - 0:31:36.400000
možda ne f i b n, ne g i b n, ali odakle?;0:31:37.400000 - 0:31:44.400000
I to.;0:31:46.400000 - 0:31:47.400000
To je možda nekakva kontrapozicija, ali je dosta komplicirano sad jer,;0:31:48.400000 - 0:31:54.400000
naravno ja cijelo vrijeme govorim samo o jednom smjeru.;0:31:55.400000 - 0:31:59.400000
A, ali mislim da se može, mislim da se onda ovako pokažem.;0:31:59.400000 - 0:32:07.400000
Znači, ako je h interpolant za f i g,;0:32:08.400000 - 0:32:12.400000
tada je ne h interpolant za ne g i ne f.;0:32:16.400000 - 0:32:20.400000
Dobro? Znači to je ono.;0:32:25.400000 - 0:32:26.400000
Mroženje na jednakosti sa minus 1, odakle?;0:32:26.400000 - 0:32:28.400000
Samo obrnete krajeve, no.;0:32:29.400000 - 0:32:31.400000
E, ali sad...;0:32:33.400000 - 0:32:34.400000
Da, znači i naravno, ako i samo ovako.;0:32:44.400000 - 0:32:48.400000
To znači da ako ne postoji interpolant između ove dvojice,;0:32:51.400000 - 0:32:55.400000
onda ne postoji niti interpolant između njihovih negacija;0:32:56.400000 - 0:32:58.400000
s tim da, naravno, sad treba obrnuti.;0:32:58.400000 - 0:33:00.400000
E, ali...;0:33:01.400000 - 0:33:02.400000
Ali negacija od ovoga je valjana,;0:33:08.400000 - 0:33:10.400000
negacija od ovoga je valjana, pa bi potpuno isto kao i ovdje,;0:33:13.400000 - 0:33:18.400000
ispalo da je...;0:33:19.400000 - 0:33:20.400000
Ha ne, ispalo je baš da je a 0 interpolant.;0:33:23.400000 - 0:33:25.400000
Kak?;0:33:25.400000 - 0:33:26.400000
Ha ha ha.;0:33:28.400000 - 0:33:29.400000
Uvijek ne, to je ono...;0:33:31.400000 - 0:33:32.400000
Ispjeli bi postoje interpolant, ali bi to on...;0:33:34.400000 - 0:33:36.400000
Pa ne, ali nemam nikakav razlog onda vjerovati da...;0:33:37.400000 - 0:33:43.400000
Znači, on bi trebao biti interpolant u ovom smjeru.;0:33:44.400000 - 0:33:49.400000
Ne, ne, opet negacija zapravo bi trebala biti interpolant.;0:33:49.400000 - 0:33:52.400000
Dobro, znači...;0:33:54.400000 - 0:33:55.400000
Znači, gore smo rekli da kad bi ne f bila valjana,;0:33:56.400000 - 0:34:01.400000
kad bi negacija lijeve strane bila valjana,;0:34:04.400000 - 0:34:07.400000
onda bi negacija od a 0 bila interpolant za tu lijevu;0:34:08.400000 - 0:34:12.400000
i praktički bilo koju desnom stranu.;0:34:12.400000 - 0:34:14.400000
Ok.;0:34:14.400000 - 0:34:15.400000
E, sad sam tu dobio ovo.;0:34:15.400000 - 0:34:16.400000
Znači, negacija ove formule je valjana,;0:34:17.400000 - 0:34:22.400000
da, i onda, mislim, vidite, ja iz toga dobijem doista ne a 0 interpolant za...;0:34:23.400000 - 0:34:29.400000
Aha, za ovo.;0:34:32.400000 - 0:34:33.400000
Jer inače...;0:34:38.400000 - 0:34:39.400000
Nećemo opisati ovako.;0:34:42.400000 - 0:34:43.400000
Znači...;0:34:44.400000 - 0:34:45.400000
Pa je ne a 0 interpolant za to, bez negacije,;0:34:53.400000 - 0:35:09.400000
i šta god hoću ovdje, a hoću...;0:35:10.400000 - 0:35:13.400000
A ne, ali opet, mislim, razumijete, neću nikako moći dobiti od ovoga interpolant za ovo tu.;0:35:14.400000 - 0:35:26.400000
Znači, shinjem negaciju pretvoriće mi se konjunkciju i disjunkciju.;0:35:28.400000 - 0:35:31.400000
Ja bih dosta napisao ovo.;0:35:34.400000 - 0:35:35.400000
To mogu napisati, jer pa je ne a 0 interpolant za ne g i b,;0:35:35.400000 - 0:35:41.400000
ne za ne g i bn i ne znam što god hoću,;0:35:41.400000 - 0:35:46.400000
ali recimo, na primjer, ne f i bn.;0:35:46.400000 - 0:35:48.400000
Mislim, s tim da ovdje mogu staviti što hoću, ovdje mogu staviti ili, nije problem.;0:35:48.400000 - 0:35:51.400000
Ali sad kad bih ti rekao, pa je zbog toga a 0 interpolant između negacije ovoga i negacije ovoga,;0:35:52.400000 - 0:35:59.400000
onda, naravno, tu dobijem disjunkciju.;0:35:59.400000 - 0:36:01.400000
Dobro.;0:36:04.400000 - 0:36:05.400000
Tu, kad smo ovo radili, smo isto prvo samo zajedno pokazali, da je spunjeno.;0:36:06.400000 - 0:36:10.400000
Da, da, bit će da se o tome radi, ali kažem, nisam ovopće sad tako siguran da je analogno,;0:36:11.400000 - 0:36:22.400000
ali dobro, ajmo probati.;0:36:22.400000 - 0:36:23.400000
Znači, dobro, ovo nam sigurno više ne treba.;0:36:23.400000 - 0:36:26.400000
Svojstva.;0:36:30.400000 - 0:36:31.400000
Ok, znači, možda stvarno treba sve skupa.;0:36:32.400000 - 0:36:38.400000
Na šta se sve odnosi analogno?;0:36:39.400000 - 0:36:41.400000
Dakle, da kažemo, za svaki n, što znači ne g i b n je ispunjeno.;0:36:41.400000 - 0:36:54.400000
Ok, kako bismo to?;0:37:01.400000 - 0:37:03.400000
Dobro, znači, za n je 0, ne g i b 0 je isto što i ne g i a 0,;0:37:04.400000 - 0:37:14.400000
a to je logički ekvalentno sa ne g, a to je ispunjivo jer kad bi ne g bila ne ispunjiva,;0:37:14.400000 - 0:37:22.400000
inače bi g bila valjena.;0:37:26.400000 - 0:37:30.400000
A bi smo imali neki interpolant, recimo baš a 0.;0:37:33.400000 - 0:37:37.400000
Znači, da.;0:37:49.400000 - 0:37:50.400000
Dobro, a sad znači,;0:37:52.400000 - 0:37:54.400000
da, n plus 1.;0:37:55.400000 - 0:37:57.400000
Šta se tu zapravo mijenja?;0:37:59.400000 - 0:38:01.400000
Pa ništa posebno, dakle,;0:38:01.400000 - 0:38:04.400000
aha, ipak se mijenja ne g i b n plus 1,;0:38:04.400000 - 0:38:13.400000
ne g i b n i, ili a n plus 1, ili ne a n plus 1.;0:38:13.400000 - 0:38:24.400000
Da, ali kažem, ja sad...;0:38:35.400000 - 0:38:38.400000
Možda treba koristiti još nekog od ovih slučajstva.;0:38:39.400000 - 0:38:43.400000
Da, da, možda.;0:38:44.400000 - 0:38:45.400000
A onda fakat nije analogno.;0:38:47.400000 - 0:38:49.400000
Znači,;0:38:56.400000 - 0:38:57.400000
znači, ono što sigurno znam je da,;0:38:57.400000 - 0:39:03.400000
znači, za f i b n i g i b n ne postoji interpolant.;0:39:05.400000 - 0:39:20.400000
To znamo, to je od onog prethodnog koraka.;0:39:23.400000 - 0:39:26.400000
I još znamo da je, e, znači, predpostavka indukcije,;0:39:28.400000 - 0:39:35.400000
ne g i b n je ispunila.;0:39:38.400000 - 0:39:41.400000
Dobro?;0:39:45.400000 - 0:39:46.400000
Da ja mogu birat koje je od ove dvije, onda bih rekao da,;0:39:47.400000 - 0:39:59.400000
kad ne bi ni jedna od njih bila ispunjiva, njihova disjunkcija bi bila ne ispunjiva i gotovo.;0:40:00.400000 - 0:40:09.400000
A njihova disjunkcija je upravo kvalina soli, ali ne mogu tako razmišljati.;0:40:10.400000 - 0:40:13.400000
Znači, to mi je, da, znači, moram nekako iskoristiti ovu odosbu.;0:40:13.400000 - 0:40:24.400000
Znači, ona je tako odabrana da za ove dvije ne postoji interpolant.;0:40:37.400000 - 0:40:41.400000
A čekaj malo, pa ne.;0:40:44.400000 - 0:40:47.400000
To znači zapravo doslovno ovo.;0:40:48.400000 - 0:40:50.400000
Za svaku formulu H, H nije interpolant između ove dvije.;0:40:51.400000 - 0:40:58.400000
Znači, ili f i b n nema za logičku postjedicu H,;0:40:59.400000 - 0:41:07.400000
ili H nema za logičku postjedicu g i b n n.;0:41:08.400000 - 0:41:15.400000
A da, opet ovo ima negaciju.;0:41:24.400000 - 0:41:26.400000
Ok, ne znam, budem još pod pauzom pogledao.;0:41:30.400000 - 0:41:32.400000
Ajmo samo dovršiti dokaz.;0:41:32.400000 - 0:41:34.400000
Znači, nekako se dobije da je T unija negacija g konzistentna.;0:41:38.400000 - 0:41:41.400000
A zašto je T potpun? To fakat je jednostavno jer jednostavno,;0:41:42.400000 - 0:41:45.400000
dakle, bazira se na tome da sam u ovom nizu a n enumerirao sve sigma rješenica.;0:41:46.400000 - 0:41:50.400000
T, sjetimo se, nad sigma, dakle, pazio sam da cijelo vrijeme držim signaturu konstantnom.;0:41:52.400000 - 0:41:58.400000
Dakle, sve ove u T su nad sigma, dakle, dovoljno je vidjeti da za svaku rješenicu nad sigma;0:41:59.400000 - 0:42:05.400000
je ona ili njezina negacija logička postjedica od T.;0:42:06.400000 - 0:42:09.400000
Međutim, naravno, ona ili njezina negacija je već logička postjedica od b n,;0:42:10.400000 - 0:42:15.400000
gdje je n njezin indeks na tom popisu.;0:42:16.400000 - 0:42:18.400000
Dakle, to je upravo svojstvo 2.;0:42:19.400000 - 0:42:21.400000
Dakle, ako si logička postjedica od nekog elementa od T,;0:42:22.400000 - 0:42:24.400000
onda si logička postjedica od čitavog T.;0:42:24.400000 - 0:42:27.400000
Dakle, kažem, to je jednostavno i onda po Robinsonu to slijedi.;0:42:28.400000 - 0:42:32.400000
Da, sad imamo još par minuta, onda idemo se ipak vratiti.;0:42:34.400000 - 0:42:37.400000
Ali, možemo formalnu pauzu proglasiti.;0:42:38.400000 - 0:42:43.400000
Ne znam, jel neko možda online ima neki komentar korisni?;0:42:48.400000 - 0:42:52.400000
Ili pratim uopće i online? Ne?;0:42:55.400000 - 0:42:57.400000
A, dobro, dobro.;0:42:58.400000 - 0:42:59.400000
Inače, nam je tu bio još jedan kolega, a sad smo...;0:43:01.400000 - 0:43:04.400000
Bez njega ostali. Dobro, ništa, ajmo sad na pauzu.;0:43:07.400000 - 0:43:09.400000
Ja ću probati malo pogledat' po literaturi šta kaže.;0:43:10.400000 - 0:43:13.400000
